rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,93996,188657,283036,377770,472060,566381,660933,755991,850359,944994,1039042,1133605,1228030,1322452,1417203,1511886,1606056,1700499,1794759,1889772
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,49,52,53,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55
