rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,302840,605829,907184,1209854,1512619,1815801,2118052,2420740,2721910,3024415,3326331,3628455,3929959,4232770,4534552,4836029,5138162,5439851,5743057,6045088
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,18,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,49,52,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
