rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,35494,71022,106663,142380,177869,213331,248761,284152,319969,355567,391326,426907,462553,498053,534037,569526,605148,640271,676010,711871
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,44,48,52,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
