rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,11167,22287,33338,44836,55896,67184,78288,89478,100597,111683,122833,133920,145162,156351,167601,178960,190248,201430,212633,223828
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13
families,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
genera,17,17,17,17,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,20
species,43,45,47,47,49,50,51,51,52,52,53,53,54,54,54,54,54,54,54,54
