rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,143533,286934,430112,573927,718057,861463,1005701,1148482,1291789,1436167,1579762,1723110,1866494,2010349,2153479,2296999,2441228,2584830,2728886,2872014
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,48,49,52,53,53,53,54,54,54,54,54,55,55,55,55,55,55,55,55,55
