rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,18546,36709,55142,73570,91741,110347,128709,147132,165409,183745,202207,220378,238734,257268,275680,294024,312405,330798,349250,367579
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,36,43,45,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
