rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,22395,44704,67155,89659,112416,134675,157183,179591,201875,224070,246420,268640,290806,313423,335849,358376,380783,402958,425519,447780
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,17,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20
species,44,48,50,51,51,53,54,54,54,54,54,54,54,54,54,54,54,54,54,55
