rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,11747,23512,34870,46580,58327,70065,81688,93321,105265,116757,128384,139944,151642,163260,174858,186686,198335,209976,221730,233522
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,33,41,43,45,46,47,50,51,52,52,52,53,53,53,53,53,53,53,53,53
