rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,286607,572754,859097,1146552,1434004,1721085,2008232,2294897,2581615,2868012,3154885,3442058,3728436,4014295,4300802,4587188,4873913,5161390,5448039,5735178
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,47,52,53,53,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55
