rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,29482,58818,88273,117864,147461,177216,206970,236861,266586,296272,325642,355168,384627,414479,443909,473600,503268,532891,562699,592384
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,16,18,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,44,51,53,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
