rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,80012,160408,240605,321451,401197,481454,561944,642203,722029,802706,882733,962868,1042644,1122972,1203612,1283710,1363812,1443813,1523838,1603906
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,46,49,50,52,53,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55
