rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,30796,61970,92417,123194,154008,184877,215969,246680,277719,308694,339233,369968,400778,431522,462299,493016,523716,554739,585014,615695
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13
families,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16
genera,17,17,17,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20
species,45,47,47,48,50,50,51,52,52,52,53,54,55,55,55,55,55,55,55,55
