rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,61697,123593,185222,246968,308995,370727,432836,494636,556555,618202,679760,741631,803040,865264,927279,989173,1050808,1112410,1174012,1235865
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,17,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,42,46,48,50,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53
