rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,35579,71447,106831,142329,177577,213103,248623,284072,319516,354937,390523,425893,461528,497112,532615,568041,603645,639292,674687,710080
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13
families,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16
genera,17,17,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20
species,46,46,51,51,52,52,52,52,54,54,54,55,55,55,55,55,55,55,55,55
