rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,80734,162046,242436,323119,404061,485054,565670,646515,727684,808653,889475,970062,1050383,1131118,1211929,1291975,1373032,1454406,1534985,1615548
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,17,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,44,48,50,51,51,51,53,53,54,54,54,54,54,54,54,54,54,54,54,54
