rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,699147,1397903,2096689,2795191,3493373,4192018,4889981,5588888,6288597,6987325,7687499,8387301,9086514,9785188,10484508,11183927,11882812,12582827,13283094,13982034
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
