rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,384070,767844,1152143,1536121,1920065,2304612,2688320,3072497,3456338,3841646,4226377,4611537,4994819,5379243,5762353,6145425,6530178,6913911,7297913,7682869
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
