rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,258074,515738,774140,1031916,1289483,1547351,1805989,2064164,2322832,2581613,2839042,3097087,3354758,3612818,3870601,4128992,4386663,4644557,4903488,5161530
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,52,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
