rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,1917126,3831917,5747252,7663114,9577539,11493884,13408567,15322863,17238876,19156389,21072320,22986634,24900945,26815615,28730737,30646518,32563949,34477445,36391147,38308301
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
