rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,423357,845085,1268795,1692747,2115219,2538409,2961536,3385441,3808116,4231812,4654872,5077538,5500562,5922930,6346458,6770360,7193015,7616621,8041365,8465051
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,52,53,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
