rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,1917413,3835281,5749874,7668274,9584765,11500351,13416250,15331923,17244822,19160736,21076176,22991168,24908737,26823310,28738999,30657845,32574492,34489722,36405574,38318170
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
