rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,77923,155269,232832,310248,388012,465181,542840,620714,697853,775520,852875,930194,1007830,1085599,1163089,1241421,1318784,1395819,1473260,1550513
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,48,51,53,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
