rates,0.05,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
reads,2065408,4129556,6194252,8259786,10323181,12387798,14451506,16516119,18583027,20650022,22713689,24775641,26842381,28909264,30973232,33037295,35101831,37169266,39235542,41302930
domains,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
phylums,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
classes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
orders,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
families,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
genera,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
species,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
